,timestamp,BORROW,SUPPLY,DATE,SUPPLY_VALUE,prices,total_supply,total_borrow,POSITION,POSITION($)
49,1639541169,607674746.28099196,884272067.7401044,2021-12-15,41548713811.61765858,1.0021288172876905,886154521.4049314,608968374.786168,-277186146.61876345,-0.27718614661876345
47,1639437489,619377216.60961229,887219741.2582505,2021-12-14,41687214221.03185294,0.9974935997320863,884996013.4610624,617824809.3879622,-267171204.0731002,-0.2671712040731002
45,1639333808,629008846.40981473,878903680.7270513,2021-12-13,41296472919.05460010,0.9993849560551755,878363116.3401362,628621978.3275893,-249741138.0125469,-0.2497411380125469
44,1639281968,627728454.95339893,865604082.0698186,2021-12-12,40671573367.68581278,1.0001308614696685,865717356.2921493,627810600.4215667,-237906755.87058258,-0.23790675587058258
42,1639178288,633137890.51596921,837679971.2098001,2021-12-11,39359521417.95964908,0.9964470361423838,834703724.5478427,630888374.4740785,-203815350.0737642,-0.2038153500737642
40,1639074607,643107151.82324878,835395374.5908355,2021-12-10,39252176569.51391931,0.9980983937379269,833806781.5152066,641884215.2361577,-191922566.27904892,-0.1919225662790489
39,1639022767,650652446.18731503,830322935.5787847,2021-12-09,39013841192.28414968,0.9998456677172128,830194789.9446863,650552029.5099938,-179642760.4346925,-0.1796427604346925
37,1638919087,647285839.99135037,824322068.2702817,2021-12-08,38731882361.37854075,1.0014777345118404,825540197.4394363,648242356.6161312,-177297840.82330513,-0.17729784082330513
35,1638815406,651686244.18632768,826428997.3219402,2021-12-07,38830879259.93768438,0.9998202514294465,826280447.8910077,651569104.5154859,-174711343.37552178,-0.17471134337552177
34,1638763566,648639638.34409308,816216450.8724396,2021-12-06,38351029013.39245328,1.0013614249204634,817327668.2891495,649522712.5121351,-167804955.77701437,-0.16780495577701438
32,1638659886,637883152.36937896,795005137.4548697,2021-12-05,37354386890.55865312,1.0007464666844286,795598582.3039293,638359310.891181,-157239271.41274834,-0.15723927141274835
30,1638556205,655727373.96895888,791150167.3753003,2021-12-04,37173255930.49370853,1.000516429572158,791558740.7177507,656066010.9761499,-135492729.74160075,-0.13549272974160076
29,1638504365,632228824.38670060,768352340.8766074,2021-12-03,36102069354.23796655,0.9977433942964203,766618472.6018264,630802133.2156222,-135816339.38620424,-0.13581633938620424
27,1638400685,640701105.80176772,773362936.2606671,2021-12-02,36337498925.33156996,1.0002391903807926,773547917.2358822,640854355.3432386,-132693561.89264357,-0.13269356189264356
25,1638297004,619744406.77081500,788168087.7042255,2021-12-01,37033138901.65485875,0.9984956996806869,786982446.1982197,618812125.0618172,-168170321.1364025,-0.16817032113640248
24,1638245164,618755737.42939478,786125619.6716388,2021-11-30,36937170790.87622565,0.999671246842223,785867178.3917624,618552319.5268223,-167314858.86494005,-0.16731485886494005
22,1638141484,631195935.54285412,777835327.9009838,2021-11-29,36547640268.81185351,0.9990792036975646,777119100.007149,630614732.659294,-146504367.34785497,-0.14650436734785496
20,1638037803,640210252.09625268,774472571.9860014,2021-11-28,36389636654.05671504,1.0010565448623998,775290837.0030028,640886662.9489607,-134404174.0540421,-0.1344041740540421
19,1637985963,633477645.77845254,780780817.7831427,2021-11-27,36686038077.14881709,1.0002332221411112,780962913.1572046,633625386.791347,-147337526.3658576,-0.1473375263658576
17,1637882283,615377798.85514750,762659186.7833707,2021-11-26,35834568843.10019120,0.9981012716712335,761211104.1802311,614209363.5955672,-147001740.58466387,-0.14700174058466386
15,1637778602,625757939.60829948,757355863.1032847,2021-11-25,35585385038.84705424,1.0006462577519246,757845310.2007807,626162340.5275997,-131682969.67318106,-0.13168296967318105
14,1637726762,622507335.64135066,755578291.2643071,2021-11-24,35501863432.41881633,1.0014574448629683,756679504.9634807,623414605.7598412,-133264899.2036395,-0.13326489920363951
